job_title,company,industry,skills,experience_level,employment_type,location,salary,posted_date,company_size,tools_preferred,data_source
1007,Weaver-Mills,Automotive,"Power BI, Pandas, Hugging Face, PyTorch",Entry,Internship,"South Benjamin, PY",42100-109275,2024-03-23,Large,BigQuery,ai_job_market
1008,Lee-Levy,Retail,"AWS, CUDA, GCP, Flask, FastAPI, NumPy",Mid,Contract,"West Lindsayfurt, LK",137547-208492,2024-04-27,Startup,"FastAPI, Scikit-learn",ai_job_market
1009,Anderson PLC,Retail,"PyTorch, Reinforcement Learning, Keras, C++, CUDA, SQL",Entry,Contract,"Younghaven, KM",141946-171941,2025-03-17,Startup,Scikit-learn,ai_job_market
1010,Murphy-Sosa,Education,"TensorFlow, Excel, Scikit-learn, Azure, R, Pandas",Mid,Full-time,"North Patrick, SZ",131712-178157,2025-03-16,Mid,TensorFlow,ai_job_market
1011,Lawrence Group,Education,"FastAPI, Azure, AWS, Python",Mid,Remote,"Lake Aliciachester, TM",91126-185060,2024-07-05,Startup,FastAPI,ai_job_market
1012,Gonzales-Gardner,Automotive,"NumPy, GCP, R, Reinforcement Learning, LangChain, AWS",Senior,Full-time,"Frazierberg, DO",100471-143502,2024-09-07,Large,"PyTorch, LangChain, BigQuery",ai_job_market
1013,"Padilla, Mann and Pierce",Finance,"MLflow, Pandas, PyTorch, C++, LangChain",Senior,Remote,"West Brandon, RW",47058-78474,2025-08-22,Mid,"LangChain, PyTorch",ai_job_market
1014,"Vazquez, Mcknight and Vega",Retail,"Keras, FastAPI, PyTorch, LangChain, Scikit-learn, Hugging Face",Entry,Internship,"Ramseyview, TV",102565-184809,2025-08-06,Large,"PyTorch, Scikit-learn",ai_job_market
1015,"Walker, Soto and Miles",Finance,"SQL, MLflow, Pandas, CUDA, Scikit-learn",Mid,Remote,"Oconnorville, IT",61954-143718,2025-06-10,Startup,TensorFlow,ai_job_market
1016,Kelly-Walls,Tech,"Reinforcement Learning, R, C++",Senior,Remote,"East Ana, KN",83274-137815,2024-01-05,Startup,"LangChain, MLflow, KDB+",ai_job_market
1017,Roberts-Watson,Healthcare,"Power BI, SQL, Python, TensorFlow",Entry,Full-time,"Perryside, CZ",82652-137577,2025-05-25,Mid,LangChain,ai_job_market
1018,"George, Hines and Galvan",Tech,"Keras, MLflow, FastAPI, Python, Scikit-learn, Reinforcement Learning",Entry,Remote,"East Rachelland, MH",84254-109338,2024-04-08,Large,Scikit-learn,ai_job_market
1019,"Lam, Garcia and Lopez",Automotive,"R, Keras, Pandas, Reinforcement Learning",Mid,Full-time,"Baldwinland, TV",135038-234859,2025-04-13,Large,"TensorFlow, Scikit-learn",ai_job_market
1020,"Vasquez, Grimes and Mooney",Healthcare,"LangChain, SQL, Reinforcement Learning, PyTorch",Entry,Remote,"Brewerland, AT",58091-128175,2024-10-02,Startup,"Scikit-learn, BigQuery",ai_job_market
1021,Mcneil-Nelson,Tech,"CUDA, SQL, Flask",Senior,Contract,"Duartebury, VA",59630-143743,2024-12-21,Startup,"MLflow, KDB+, TensorFlow",ai_job_market
1022,Wiggins-Rivera,Healthcare,"LangChain, AWS, R",Senior,Internship,"Andreashire, TO",90456-177785,2024-01-14,Large,MLflow,ai_job_market
1023,Morris-Swanson,Education,"LangChain, AWS, Keras, Hugging Face, Pandas",Entry,Internship,"Howellburgh, NO",130542-204720,2024-11-08,Startup,"BigQuery, LangChain",ai_job_market
1024,Wong and Sons,Education,"C++, Reinforcement Learning, MLflow, Pandas, SQL",Entry,Internship,"North Kristie, CL",74640-136034,2025-04-01,Large,"Scikit-learn, PyTorch, MLflow",ai_job_market
1025,"Davidson, Green and Johnson",E-commerce,"AWS, SQL, CUDA, Hugging Face, Power BI",Entry,Internship,"West Tylerberg, JO",134678-199022,2025-05-01,Large,"Scikit-learn, PyTorch",ai_job_market
1026,Greer-Garner,E-commerce,"Power BI, Pandas, GCP, Hugging Face, R",Entry,Contract,"South Chadton, IQ",60699-100444,2025-09-11,Mid,"TensorFlow, PyTorch",ai_job_market
1027,"Nash, Solomon and Cameron",Education,"Azure, Power BI, GCP, LangChain",Entry,Internship,"Davidfurt, IT",118562-168256,2024-03-27,Mid,"BigQuery, LangChain",ai_job_market
1028,Jimenez Group,E-commerce,"MLflow, CUDA, Reinforcement Learning",Mid,Full-time,"Williamview, CU",135565-208792,2024-03-03,Mid,TensorFlow,ai_job_market
1029,Garcia-Adams,Education,"Python, GCP, Scikit-learn, Pandas, PyTorch",Senior,Internship,"Port Victoriaburgh, TN",102146-133999,2023-12-15,Mid,TensorFlow,ai_job_market
1030,Munoz and Sons,Retail,"Reinforcement Learning, FastAPI, Power BI",Entry,Full-time,"Smithmouth, UG",119302-138298,2024-09-05,Startup,"Scikit-learn, KDB+",ai_job_market
1031,Griffin Ltd,E-commerce,"Reinforcement Learning, Scikit-learn, Hugging Face, MLflow",Entry,Contract,"Harrisonhaven, PT",49324-111133,2024-04-03,Large,FastAPI,ai_job_market
1032,Briggs-Miller,E-commerce,"R, Flask, Keras, Python, CUDA, FastAPI",Entry,Full-time,"Janicemouth, UZ",138580-231364,2024-02-06,Startup,"Scikit-learn, FastAPI, PyTorch",ai_job_market
1033,Dominguez Group,Finance,"Keras, FastAPI, Reinforcement Learning, Power BI",Mid,Contract,"New Melissashire, RW",74176-137039,2024-11-06,Large,MLflow,ai_job_market
1034,"Cohen, Schneider and Scott",Healthcare,"CUDA, FastAPI, Reinforcement Learning",Mid,Remote,"Port Nathan, TM",131736-200711,2025-05-24,Large,"MLflow, BigQuery",ai_job_market
1035,Peterson Ltd,E-commerce,"Reinforcement Learning, Python, Pandas, Excel, LangChain, Azure",Mid,Contract,"Staffordstad, AZ",147838-240312,2025-04-30,Large,"PyTorch, LangChain, TensorFlow",ai_job_market
1036,Ramsey-Hamilton,Education,"FastAPI, CUDA, GCP, Keras, MLflow, C++",Senior,Internship,"West Kyliechester, AD",73318-132625,2024-03-22,Startup,Scikit-learn,ai_job_market
1037,Davidson-Clark,Finance,"Flask, Pandas, LangChain",Mid,Internship,"Lake Erika, VC",47247-120710,2025-08-14,Mid,LangChain,ai_job_market
1038,"Ramirez, Sanchez and Lucas",Retail,"R, Azure, Power BI, NumPy, Reinforcement Learning",Senior,Internship,"Johnsonfurt, GQ",147851-188241,2025-08-11,Startup,"KDB+, LangChain",ai_job_market
1039,"Atkinson, Branch and Horton",Tech,"R, NumPy, SQL, GCP, Python, FastAPI",Senior,Full-time,"New Darren, ET",83545-139001,2024-09-07,Large,KDB+,ai_job_market
1040,Hawkins Ltd,E-commerce,"AWS, Scikit-learn, TensorFlow, CUDA",Senior,Contract,"North Madison, UZ",113683-150250,2023-12-11,Mid,TensorFlow,ai_job_market
1041,Moore Ltd,Tech,"Excel, Reinforcement Learning, NumPy, AWS, MLflow",Mid,Internship,"Abigailmouth, NE",85570-163706,2025-01-30,Mid,"Scikit-learn, FastAPI",ai_job_market
1042,Hughes-Henry,Retail,"TensorFlow, SQL, Scikit-learn",Mid,Full-time,"West James, ER",47968-108841,2024-07-03,Startup,"MLflow, LangChain, PyTorch",ai_job_market
1043,Johnson-Thomas,Healthcare,"Reinforcement Learning, TensorFlow, PyTorch, Excel, FastAPI",Entry,Internship,"Lake Curtis, BS",110576-182999,2024-03-18,Large,"FastAPI, PyTorch, KDB+",ai_job_market
1044,"Hunt, White and Schmidt",Tech,"AWS, Python, MLflow, Scikit-learn, Keras, Power BI",Entry,Contract,"Josephstad, DZ",80195-161305,2025-08-01,Startup,TensorFlow,ai_job_market
1045,Harris-Zavala,E-commerce,"GCP, SQL, LangChain, R",Mid,Remote,"West Michael, NI",131293-216683,2024-10-19,Startup,"FastAPI, BigQuery",ai_job_market
1046,Price PLC,Finance,"SQL, Excel, AWS, MLflow, TensorFlow, FastAPI",Mid,Remote,"Madisonside, BH",113368-178541,2024-01-29,Startup,BigQuery,ai_job_market
1047,Craig-Lloyd,Tech,"MLflow, Reinforcement Learning, Azure, C++, Pandas, NumPy",Mid,Contract,"Priceborough, LU",86846-98704,2025-02-03,Startup,"BigQuery, MLflow, KDB+",ai_job_market
1048,Bell-Perez,Tech,"Excel, C++, GCP, SQL, PyTorch",Mid,Internship,"Rossbury, SC",125414-140740,2024-08-01,Mid,"BigQuery, PyTorch",ai_job_market
1049,Cole-Clark,Automotive,"CUDA, TensorFlow, Python, Azure, Scikit-learn",Entry,Internship,"South Meganmouth, LI",127708-143295,2024-11-05,Startup,FastAPI,ai_job_market
1050,Knight-Lozano,Finance,"LangChain, GCP, R, SQL",Senior,Remote,"New Heatherbury, BG",136117-208595,2023-10-21,Mid,"TensorFlow, Scikit-learn, KDB+",ai_job_market
1051,Burton LLC,Automotive,"Scikit-learn, Power BI, R, Reinforcement Learning, Excel, Azure",Senior,Full-time,"South Jamesville, JM",74834-103941,2024-06-04,Mid,KDB+,ai_job_market
1052,"Castillo, Bonilla and Mclaughlin",Automotive,"NumPy, Excel, LangChain, Keras",Mid,Internship,"West Jasonmouth, IR",123956-163525,2024-03-14,Large,"LangChain, FastAPI",ai_job_market
1053,Byrd-Christian,Finance,"SQL, Reinforcement Learning, Python",Mid,Internship,"West Theresashire, NI",138221-219313,2024-11-07,Large,"FastAPI, TensorFlow",ai_job_market
1054,Price-Sandoval,E-commerce,"Flask, NumPy, C++",Senior,Remote,"Lake Markport, PK",46907-84839,2025-08-09,Large,"FastAPI, TensorFlow",ai_job_market
1055,Black-Simmons,Automotive,"Pandas, SQL, CUDA, Power BI, AWS",Senior,Full-time,"Allenburgh, BW",136391-226513,2024-07-03,Startup,"PyTorch, BigQuery, TensorFlow",ai_job_market
1056,"Berger, Jackson and Hansen",Automotive,"CUDA, SQL, Power BI, GCP, FastAPI, PyTorch",Mid,Contract,"Hopkinstown, KP",113830-133491,2025-07-09,Mid,"BigQuery, KDB+",ai_job_market
1057,Kent-Preston,E-commerce,"Excel, GCP, Scikit-learn, PyTorch",Senior,Full-time,"North Nicolechester, CO",45973-72433,2024-06-11,Mid,KDB+,ai_job_market
1058,"Hartman, Rowe and Hernandez",Automotive,"C++, NumPy, Excel, Keras, TensorFlow",Entry,Internship,"East Joseph, GR",85501-149518,2024-04-30,Large,"FastAPI, Scikit-learn",ai_job_market
1059,Morrison-Turner,Retail,"C++, SQL, Flask, PyTorch, MLflow, FastAPI",Entry,Contract,"Mayerview, NI",137862-169321,2025-08-25,Mid,"KDB+, TensorFlow",ai_job_market
1060,Smith Inc,Tech,"Power BI, SQL, Reinforcement Learning, TensorFlow",Mid,Internship,"New Adam, BN",104563-140859,2025-03-04,Startup,"LangChain, MLflow, FastAPI",ai_job_market
1061,Gardner-Chavez,Tech,"TensorFlow, Pandas, Flask, Reinforcement Learning, Azure",Mid,Full-time,"Lopezfort, KH",119393-154411,2023-12-17,Mid,"MLflow, TensorFlow",ai_job_market
1062,Morris-Blake,Healthcare,"Python, NumPy, LangChain, Excel",Senior,Contract,"Lake Anthony, CL",52342-65593,2024-01-05,Mid,"LangChain, PyTorch",ai_job_market
1063,Hunter-Ward,Finance,"SQL, Python, CUDA, FastAPI, TensorFlow",Senior,Remote,"Millerborough, WS",110675-194128,2023-12-01,Large,"MLflow, Scikit-learn, FastAPI",ai_job_market
1064,Hicks and Sons,Finance,"Reinforcement Learning, Excel, Azure, SQL, FastAPI, Pandas",Entry,Remote,"Port Franciscoside, GT",93518-182685,2025-06-12,Large,"PyTorch, BigQuery, FastAPI",ai_job_market
1065,Torres-Clark,Education,"Excel, Hugging Face, CUDA, Flask, TensorFlow, C++",Entry,Contract,"West Jason, RO",80174-143646,2023-10-26,Mid,"PyTorch, KDB+, BigQuery",ai_job_market
1066,Brown Ltd,Automotive,"C++, GCP, Reinforcement Learning",Senior,Contract,"West Keithview, LU",90229-182531,2025-03-13,Mid,LangChain,ai_job_market
1067,Kerr Ltd,Education,"PyTorch, CUDA, AWS, Reinforcement Learning",Entry,Full-time,"Juanburgh, TD",42741-138581,2024-01-14,Mid,"MLflow, PyTorch, TensorFlow",ai_job_market
1068,"Hobbs, Moreno and Williams",Finance,"Scikit-learn, Pandas, Keras, Power BI, TensorFlow, LangChain",Mid,Full-time,"Andrewmouth, GN",141028-211158,2025-08-31,Startup,"LangChain, PyTorch, KDB+",ai_job_market
1069,"Brown, Giles and Thompson",E-commerce,"R, LangChain, MLflow, Power BI, Azure, CUDA",Entry,Internship,"North Mistyland, DJ",62711-120957,2025-02-17,Startup,BigQuery,ai_job_market
1070,Jordan Inc,Healthcare,"AWS, Excel, C++, Keras",Mid,Full-time,"Joelland, MC",140092-164804,2025-02-28,Mid,Scikit-learn,ai_job_market
1071,Rodriguez Inc,Tech,"AWS, SQL, Scikit-learn, Flask, FastAPI",Mid,Internship,"Lake Debbie, SZ",72382-84197,2025-04-13,Mid,"MLflow, LangChain",ai_job_market
1072,Evans-Alvarado,Retail,"FastAPI, AWS, Pandas, Excel, Reinforcement Learning, Azure",Senior,Remote,"Davidmouth, BJ",91789-114759,2025-06-23,Large,"FastAPI, TensorFlow, BigQuery",ai_job_market
1073,"Phillips, Sanchez and Christensen",E-commerce,"CUDA, Pandas, Python, PyTorch, Azure, Keras",Entry,Internship,"East Davidchester, NE",112036-153498,2025-02-08,Large,LangChain,ai_job_market
1074,"Sexton, Davis and Allen",Healthcare,"R, Flask, Keras, GCP, Hugging Face",Mid,Full-time,"Lake David, FI",45224-79444,2025-06-13,Startup,Scikit-learn,ai_job_market
1075,"Gill, Russo and Hill",Automotive,"LangChain, Keras, Excel",Entry,Internship,"Gomezchester, UG",62949-91600,2023-12-19,Startup,PyTorch,ai_job_market
1076,"Walsh, Davis and Tanner",Automotive,"Power BI, Scikit-learn, Keras, TensorFlow, MLflow, SQL",Senior,Full-time,"North Brettfurt, MH",67630-155926,2025-04-25,Large,"TensorFlow, BigQuery, FastAPI",ai_job_market
1077,Green Group,E-commerce,"SQL, Excel, Flask, NumPy, FastAPI",Entry,Contract,"Port Yvetteland, LK",92512-136705,2023-12-12,Mid,"TensorFlow, PyTorch",ai_job_market
1078,"Wilson, Wilson and Austin",Finance,"GCP, SQL, Keras, AWS, Python",Mid,Remote,"Mistyfurt, KP",96374-117586,2024-06-18,Large,"TensorFlow, FastAPI",ai_job_market
1079,Williams-Thomas,Retail,"Flask, AWS, Reinforcement Learning, LangChain, FastAPI",Mid,Internship,"North Patricia, YE",72840-136135,2025-05-28,Large,PyTorch,ai_job_market
1080,"Thompson, Gibson and Simmons",Retail,"Python, AWS, MLflow, C++, R",Mid,Remote,"Gutierreztown, TJ",107564-192348,2025-09-01,Mid,FastAPI,ai_job_market
1081,"Bush, Dennis and Burke",Automotive,"Python, MLflow, LangChain, GCP, PyTorch, Keras",Entry,Full-time,"Benitezfurt, ST",101793-153283,2024-07-14,Startup,"PyTorch, Scikit-learn, BigQuery",ai_job_market
1082,Anderson and Sons,Retail,"AWS, Excel, Keras, Power BI, CUDA, Flask",Senior,Remote,"Griffintown, KP",111604-157715,2025-03-25,Startup,"BigQuery, MLflow",ai_job_market
1083,"Russell, Wood and Robertson",E-commerce,"Python, Excel, FastAPI, GCP, C++, PyTorch",Senior,Remote,"Gonzalezstad, VN",124909-142566,2025-09-01,Mid,"MLflow, LangChain, BigQuery",ai_job_market
1084,Johnson LLC,Tech,"GCP, Azure, CUDA, AWS, PyTorch",Senior,Contract,"South Christopher, FJ",142140-231014,2024-02-15,Startup,"TensorFlow, MLflow, Scikit-learn",ai_job_market
1085,Kaufman LLC,Tech,"AWS, Excel, SQL, Scikit-learn",Senior,Full-time,"Port Ianfurt, LR",74360-154591,2023-12-24,Startup,"Scikit-learn, KDB+, PyTorch",ai_job_market
1086,Murphy LLC,Healthcare,"Keras, TensorFlow, MLflow, NumPy, Pandas, Scikit-learn",Senior,Contract,"Whitefort, NI",142266-205665,2024-04-06,Large,"LangChain, FastAPI, PyTorch",ai_job_market
1087,Matthews-Collins,E-commerce,"Flask, Pandas, GCP",Senior,Full-time,"Jonesville, TO",85449-173276,2025-01-24,Mid,"LangChain, PyTorch",ai_job_market
1088,Rivas PLC,Retail,"CUDA, SQL, Azure, MLflow, Python, GCP",Mid,Contract,"South Timothystad, CH",72838-82839,2023-09-26,Startup,KDB+,ai_job_market
1089,Alvarez PLC,Automotive,"Azure, Flask, PyTorch, C++, GCP, Pandas",Entry,Remote,"North Connorfurt, PA",58883-94087,2024-01-13,Mid,"KDB+, TensorFlow",ai_job_market
1090,Best Inc,E-commerce,"FastAPI, Excel, AWS, TensorFlow",Entry,Internship,"Lake Melanie, VU",137871-236301,2024-07-19,Mid,PyTorch,ai_job_market
1091,"Ochoa, Davidson and Thomas",Education,"Azure, Keras, C++, LangChain",Senior,Remote,"Coryton, WS",72807-148336,2025-03-11,Large,"TensorFlow, BigQuery",ai_job_market
1092,"Reilly, Barajas and Hughes",Finance,"CUDA, Excel, FastAPI, MLflow, Azure, Power BI",Senior,Full-time,"South Kathleen, MV",121770-181258,2024-02-23,Startup,"FastAPI, BigQuery",ai_job_market
1093,"Dixon, Wright and Smith",Education,"MLflow, SQL, Pandas",Entry,Internship,"Markfort, NO",59736-141312,2025-09-10,Large,"BigQuery, KDB+",ai_job_market
1094,"Sawyer, Hall and Lowe",Automotive,"CUDA, NumPy, Keras",Mid,Internship,"Nancyberg, AF",54563-120250,2023-12-28,Large,"TensorFlow, MLflow, PyTorch",ai_job_market
1095,"Donaldson, Espinoza and Mills",Tech,"C++, Reinforcement Learning, Flask, AWS, Scikit-learn, NumPy",Senior,Full-time,"Matthewsberg, DO",59528-141804,2024-12-11,Mid,FastAPI,ai_job_market
1096,Davis-Moore,Retail,"PyTorch, Python, FastAPI, Azure, LangChain",Senior,Full-time,"North Jessica, VC",135458-162633,2025-09-19,Mid,"FastAPI, KDB+, TensorFlow",ai_job_market
1097,Clark PLC,Retail,"GCP, Scikit-learn, CUDA, R, AWS, Pandas",Mid,Internship,"New Austin, BZ",120849-175578,2025-03-20,Startup,TensorFlow,ai_job_market
1098,Lynch-Coffey,Automotive,"Azure, R, Hugging Face, SQL, MLflow, Flask",Entry,Internship,"Deborahton, CV",114398-162569,2023-10-11,Large,"TensorFlow, LangChain",ai_job_market
1099,Archer Ltd,Tech,"Keras, Azure, C++, Reinforcement Learning, Hugging Face",Entry,Remote,"Allisonview, ET",102033-129786,2024-09-16,Mid,Scikit-learn,ai_job_market
1100,"Estrada, Perry and Jackson",E-commerce,"NumPy, Hugging Face, CUDA, Flask",Mid,Internship,"Eatonmouth, PW",109096-152219,2023-10-13,Startup,"TensorFlow, BigQuery",ai_job_market
1101,Shelton-Ellison,Healthcare,"FastAPI, C++, R, Scikit-learn, GCP, Flask",Mid,Internship,"Davistown, NA",42116-124383,2024-06-21,Large,"PyTorch, FastAPI, MLflow",ai_job_market
1102,Montgomery Inc,Finance,"Power BI, R, Python, C++, SQL",Entry,Internship,"Danielside, SZ",101352-179549,2024-07-25,Large,KDB+,ai_job_market
1103,"Rios, Evans and Foster",Retail,"R, Python, Reinforcement Learning",Senior,Full-time,"Hernandezland, ZA",66107-154510,2024-11-21,Large,"FastAPI, PyTorch",ai_job_market
1104,"Garcia, Lopez and Santiago",Finance,"LangChain, Azure, PyTorch, FastAPI",Senior,Remote,"New Jared, BB",47058-61355,2024-12-03,Mid,Scikit-learn,ai_job_market
1105,Bell Group,Finance,"Hugging Face, GCP, FastAPI",Entry,Full-time,"Nicholaschester, KE",134451-175964,2023-11-11,Startup,LangChain,ai_job_market
1106,Stevens-Foster,Tech,"Power BI, Python, Pandas, AWS",Entry,Full-time,"Blairside, GH",65526-112033,2024-03-13,Startup,"Scikit-learn, PyTorch, BigQuery",ai_job_market
1107,Sawyer PLC,E-commerce,"Hugging Face, Azure, SQL",Mid,Internship,"Bryceport, AO",98233-144034,2025-01-17,Large,"MLflow, BigQuery, PyTorch",ai_job_market
1108,Hurley-Scott,Healthcare,"R, CUDA, Reinforcement Learning",Senior,Internship,"West Christian, SO",63107-93304,2024-07-24,Startup,"TensorFlow, BigQuery, MLflow",ai_job_market
1109,Black-Bennett,Tech,"Reinforcement Learning, Hugging Face, CUDA, MLflow, AWS, PyTorch",Mid,Contract,"Lake Toddmouth, IN",111226-163698,2024-09-13,Mid,"LangChain, TensorFlow, KDB+",ai_job_market
1110,Perez Group,Tech,"Scikit-learn, Pandas, FastAPI, AWS, Python",Mid,Contract,"South Erikchester, GA",75074-155545,2023-11-11,Large,"FastAPI, LangChain",ai_job_market
1111,"Saunders, Bradford and Sharp",E-commerce,"Pandas, Excel, Flask, LangChain, Scikit-learn, TensorFlow",Mid,Full-time,"Port Meganstad, GW",80973-145159,2023-10-03,Large,"KDB+, LangChain, PyTorch",ai_job_market
1112,Hudson-Gordon,Education,"FastAPI, SQL, Scikit-learn",Mid,Contract,"Port Erikaburgh, PG",93507-119377,2024-04-27,Startup,LangChain,ai_job_market
1113,"Nelson, Maddox and Klein",Finance,"Flask, MLflow, Scikit-learn",Senior,Internship,"Philipmouth, GQ",50076-79334,2024-10-21,Large,"Scikit-learn, FastAPI",ai_job_market
1114,"Clark, Price and Dickson",Automotive,"C++, Keras, Pandas",Entry,Contract,"Lake Misty, MZ",134300-219809,2025-04-06,Mid,"Scikit-learn, FastAPI, TensorFlow",ai_job_market
1115,Gonzalez PLC,Tech,"Keras, Azure, C++",Entry,Internship,"Campbellmouth, IN",97395-189060,2024-12-23,Large,"FastAPI, LangChain",ai_job_market
1116,Pierce Inc,Automotive,"C++, CUDA, Power BI, TensorFlow",Senior,Internship,"Collierchester, PH",144238-220052,2024-01-14,Mid,"Scikit-learn, TensorFlow",ai_job_market
1117,"House, Bond and Myers",E-commerce,"R, C++, SQL, GCP, MLflow, TensorFlow",Mid,Contract,"West Cathy, PG",149741-230920,2024-07-04,Large,"LangChain, MLflow, TensorFlow",ai_job_market
1118,Johns Inc,Retail,"LangChain, Reinforcement Learning, Flask",Senior,Contract,"Rodriguezstad, GN",106079-137034,2023-12-08,Mid,"KDB+, TensorFlow, FastAPI",ai_job_market
1119,"Matthews, Mcdowell and Reynolds",Automotive,"Reinforcement Learning, Excel, Power BI, Hugging Face",Senior,Remote,"Port Jeffstad, MD",98445-165573,2024-11-27,Startup,"TensorFlow, Scikit-learn",ai_job_market
1120,Navarro-Costa,Retail,"C++, TensorFlow, FastAPI, AWS, Reinforcement Learning",Senior,Contract,"Lawrenceton, BG",43140-88722,2024-09-17,Startup,"KDB+, PyTorch",ai_job_market
1121,Morris Inc,Education,"Scikit-learn, LangChain, MLflow, Flask",Mid,Remote,"Zunigaside, DM",52046-121333,2024-01-29,Large,"KDB+, LangChain, Scikit-learn",ai_job_market
1122,"Miller, Pena and Spencer",E-commerce,"Keras, FastAPI, Scikit-learn, R, Hugging Face, PyTorch",Entry,Remote,"East Timothy, BF",99858-123912,2025-01-27,Startup,"MLflow, PyTorch",ai_job_market
1123,"Davis, Sosa and Greene",Finance,"Keras, Pandas, R, Excel, SQL",Mid,Contract,"North Kristafort, CV",88347-162648,2024-04-22,Mid,"MLflow, PyTorch, BigQuery",ai_job_market
1124,"Klein, Jordan and Lang",E-commerce,"AWS, GCP, Azure",Entry,Remote,"Scottport, SZ",111367-142733,2024-12-11,Large,"TensorFlow, MLflow, LangChain",ai_job_market
1125,"Valdez, Nguyen and Espinoza",Healthcare,"Power BI, R, LangChain, C++",Entry,Full-time,"Andreatown, SR",78429-144042,2025-08-04,Mid,"BigQuery, KDB+",ai_job_market
1126,Patterson-Salazar,Education,"C++, Hugging Face, Flask",Senior,Remote,"Port Nicholas, KW",134633-217031,2025-02-27,Large,"PyTorch, BigQuery",ai_job_market
1127,"Thomas, Greene and Munoz",Retail,"CUDA, FastAPI, Power BI",Senior,Internship,"Lake Jaime, VA",112953-211579,2024-10-17,Mid,"FastAPI, LangChain",ai_job_market
1128,Torres Ltd,Education,"Flask, GCP, C++",Mid,Contract,"Grahambury, BR",144779-159980,2023-12-14,Mid,FastAPI,ai_job_market
1129,"Young, Peterson and Wood",Finance,"Flask, Pandas, PyTorch, Excel",Entry,Contract,"New Masonton, KI",117277-164138,2025-09-05,Mid,"FastAPI, TensorFlow",ai_job_market
1130,Reilly PLC,Retail,"Reinforcement Learning, LangChain, Excel, Pandas, Python, Flask",Mid,Internship,"Cabrerafort, GW",53255-64684,2025-09-16,Mid,"TensorFlow, PyTorch",ai_job_market
1131,Woods-Kelly,Retail,"C++, Python, R, Excel",Entry,Internship,"Millerborough, AL",113739-165657,2024-06-05,Startup,KDB+,ai_job_market
1132,Moss-Jackson,Retail,"LangChain, Pandas, TensorFlow, CUDA",Mid,Remote,"Christopherton, TM",64726-112277,2024-10-24,Mid,"LangChain, KDB+",ai_job_market
1133,Johnson and Sons,Education,"MLflow, Flask, AWS",Entry,Contract,"Joneschester, LK",47268-62862,2023-11-23,Startup,"PyTorch, MLflow, TensorFlow",ai_job_market
1134,Green Group,Automotive,"SQL, AWS, Power BI, NumPy, Reinforcement Learning",Senior,Internship,"Ramostown, BI",119846-164604,2025-06-19,Startup,FastAPI,ai_job_market
1135,Evans LLC,Automotive,"Pandas, SQL, Power BI, Python, Reinforcement Learning",Senior,Internship,"Port Kelsey, KI",66099-141841,2023-11-05,Mid,"PyTorch, TensorFlow, Scikit-learn",ai_job_market
1136,Chambers PLC,Tech,"NumPy, Power BI, LangChain, GCP, Python",Mid,Contract,"Johnberg, VC",72050-137819,2024-03-31,Mid,"PyTorch, MLflow, BigQuery",ai_job_market
1137,Conner-Young,Education,"Azure, Python, FastAPI",Entry,Remote,"Port Amandaburgh, GA",90239-170922,2025-03-24,Startup,BigQuery,ai_job_market
1138,Morris LLC,Automotive,"Scikit-learn, LangChain, Hugging Face, SQL, Azure, MLflow",Senior,Remote,"East Barrybury, GA",94397-178121,2024-08-02,Large,"LangChain, FastAPI, KDB+",ai_job_market
1139,Hawkins-Valdez,Finance,"CUDA, SQL, NumPy, Python, Flask",Senior,Internship,"Roseton, VE",110310-161110,2024-07-18,Startup,FastAPI,ai_job_market
1140,Vance-Mcdowell,Finance,"LangChain, CUDA, Excel, Flask",Entry,Internship,"Port Jessica, SG",55784-143211,2024-05-12,Mid,"MLflow, FastAPI",ai_job_market
1141,Wright LLC,Finance,"AWS, Flask, MLflow, FastAPI, Azure",Senior,Remote,"Sandrastad, IE",149975-199905,2024-04-11,Large,"LangChain, KDB+",ai_job_market
1142,Silva LLC,Automotive,"CUDA, Hugging Face, SQL, GCP, C++, Python",Mid,Internship,"Lewisburgh, BF",82338-95759,2025-08-17,Mid,"PyTorch, BigQuery",ai_job_market
1143,"Sanders, Rodriguez and Meyers",Finance,"SQL, LangChain, Hugging Face, R",Mid,Remote,"Port Kathyton, GQ",76484-111575,2024-11-28,Large,FastAPI,ai_job_market
1144,Allen Group,E-commerce,"TensorFlow, NumPy, GCP, Power BI, FastAPI",Entry,Internship,"Williamsville, MG",147639-215331,2024-09-22,Startup,PyTorch,ai_job_market
1145,Webb LLC,Education,"C++, Hugging Face, Excel, GCP, TensorFlow, FastAPI",Mid,Contract,"Sylviaport, BS",63255-108370,2024-10-10,Mid,"KDB+, MLflow",ai_job_market
1146,Harris-Brown,E-commerce,"FastAPI, Azure, MLflow, PyTorch, Excel",Entry,Remote,"East Kimberlyview, ME",129625-193613,2025-07-24,Startup,PyTorch,ai_job_market
1147,Stewart-White,Retail,"Azure, MLflow, Hugging Face, GCP, Keras",Entry,Remote,"West Amber, HU",136317-195529,2025-07-25,Large,"Scikit-learn, PyTorch, LangChain",ai_job_market
1148,"Roberts, Ford and Davis",Retail,"Power BI, MLflow, SQL, AWS",Mid,Full-time,"Hannahfort, LS",148403-180220,2024-06-30,Mid,"KDB+, LangChain, BigQuery",ai_job_market
